country_code,country_name,life_ladder,democracy_index,consumer_price_index,gender_ratio_males_per100_female,infant_mortality_per1000_births,life_expectancy,per_capita_gdp_dollars,population_density,safe_drinking_water_access_pct,seats_held_by_women_pct,unemployment_rate
566,Nigeria,4.36,41.2,267.5,102.7,62.1,54.2,2361.00,220.7,21.7,5.6,8
807,North Macedonia,5.02,59.7,113.4,100.1,10.7,75.6,6093.00,82.6,76.8,38.3,16.4
578,Norway,7.44,98.7,120.3,102.1,2.1,82.2,74986.00,14.7,98.6,40.8,3.3
586,Pakistan,4.44,42.5,182.3,106,61.3,67,1187.00,280.9,35.8,20.2,4.5
600,Paraguay,5.65,62.4,143.8,103.4,19,74.1,5406.00,17.7,64.1,15,4.8
604,Peru,6,66,129.8,98.7,12.8,76.4,6978.00,25.4,51.3,30,3.2
608,Philippines,6.27,66.4,120.2,101,19.7,71,3324.00,362.6,47.5,29.5,2.2
616,Poland,6.24,66.2,113.9,94,3.3,78.5,15727.00,123.7,98.3,29.1,3
620,Portugal,6.1,80.3,110.6,89.7,3,81.8,23350.00,111.7,95.4,35.7,5.9
410,Republic of Korea,5.9,80,115.2,100.3,2.1,82.8,32143.00,526.8,99.2,17.1,4.6
498,Republic of Moldova,5.8,57.5,166.3,92,12.4,71.7,2957.00,123.1,74.1,22.8,5.4
642,Romania,6.13,64.9,123.8,94.7,6.7,75.8,12914.00,84.1,82,20.7,3.9
643,Russian Federation,5.44,31.1,180.7,86.4,5.8,72.3,11606.00,8.9,76.1,15.8,4.4
646,Rwanda,3.27,31.6,140.5,96.7,29.2,68.4,820.00,511.8,12.1,61.3,1
688,Serbia,6.24,64.1,144,96,4.9,75.8,7359.00,100.3,75,37.7,12.7
694,Sierra Leone,3.45,48.6,234.2,99.6,80.8,54.1,528.00,108.2,10.6,12.3,4.4
702,Singapore,6.38,60.2,114.4,109.8,1.6,83.4,64103.00,8291.9,100,23,4.4
703,Slovakia,6.24,71.7,115.3,94.9,4.8,77.3,19256.00,113.5,99.2,20,5.1
705,Slovenia,6.67,75,111.1,99.1,1.9,81.1,26062.00,103.2,98.3,24.4,3.8
724,Spain,6.46,82.9,111,96.6,2.3,83.4,29816.00,93.7,99.6,41.1,13
752,Sweden,7.4,93.9,110.5,100.3,2,82.6,52896.00,24.5,99.8,47.3,6.7
756,Switzerland,7.69,90.3,99.5,98.4,3.4,83.6,85135.00,217.4,94.2,32.5,4.9
762,Tajikistan,5.46,19.3,178.6,101.6,29.3,70.8,894.00,66.6,55.2,19,11
768,Togo,4.18,33,113.3,99,49.7,60.5,899.00,148.6,19.6,16.5,2
788,Tunisia,4.32,67.2,158.8,98.3,12.7,76.4,3318.00,75.3,79.3,35.9,16.2
800,Uganda,4.95,50.2,107.6,97.1,46.1,62.8,737.00,221.6,16.6,34.9,1.9
804,Ukraine,4.7,59,281.9,86.3,7.2,71.8,3496.00,75.9,89,11.6,8.9
826,United Kingdom,7.16,85.2,120.6,97.6,3.8,81.2,41855.00,279.1,99.8,32,4.1
840,United States of America,6.94,79.6,117.2,97.9,5.8,78.8,65134.00,36,97.3,23.6,3.9
860,Uzbekistan,6.15,20.1,153.3,99.5,20.8,71.5,1756.00,77.5,58.8,16,6.1
