Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
148,Chad,2019,GDP per capita (US dollars),707,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
152,Chile,2019,GDP per capita (US dollars),"14,896",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
156,China,2019,GDP per capita (US dollars),"10,004","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
344,"China, Hong Kong SAR",2019,GDP per capita (US dollars),"49,180",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
446,"China, Macao SAR",2019,GDP per capita (US dollars),"84,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
170,Colombia,2019,GDP per capita (US dollars),"6,432",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
174,Comoros,2019,GDP per capita (US dollars),"1,370",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
178,Congo,2019,GDP per capita (US dollars),"2,304",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
184,Cook Islands,2019,GDP per capita (US dollars),"21,603",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
188,Costa Rica,2019,GDP per capita (US dollars),"12,238",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
384,Côte d’Ivoire,2019,GDP per capita (US dollars),"2,276",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
191,Croatia,2019,GDP per capita (US dollars),"14,627",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
192,Cuba,2019,GDP per capita (US dollars),"9,296",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
531,Curaçao,2019,GDP per capita (US dollars),"18,980",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
196,Cyprus,2019,GDP per capita (US dollars),"28,285",Excluding northern Cyprus.,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
203,Czechia,2019,GDP per capita (US dollars),"23,452",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
408,Dem. People's Rep. Korea,2019,GDP per capita (US dollars),640,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
180,Dem. Rep. of the Congo,2019,GDP per capita (US dollars),545,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
208,Denmark,2019,GDP per capita (US dollars),"60,657",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
262,Djibouti,2019,GDP per capita (US dollars),"3,252",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
212,Dominica,2019,GDP per capita (US dollars),"8,111",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
214,Dominican Republic,2019,GDP per capita (US dollars),"8,282",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
218,Ecuador,2019,GDP per capita (US dollars),"6,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
