Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
191,Croatia,2019,Population density,73.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
192,Cuba,2019,Population density,106.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
531,Curaçao,2019,Population density,368.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
196,Cyprus,2019,Population density,129.7,Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
203,Czechia,2019,Population density,138.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
408,Dem. People's Rep. Korea,2019,Population density,213.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
180,Dem. Rep. of the Congo,2019,Population density,38.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
208,Denmark,2019,Population density,136,"For statistical purposes, the data for Denmark do not include Faroe Islands, and Greenland.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
262,Djibouti,2019,Population density,42,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
212,Dominica,2019,Population density,95.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
214,Dominican Republic,2019,Population density,222.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
218,Ecuador,2019,Population density,70,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
818,Egypt,2019,Population density,100.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
222,El Salvador,2019,Population density,311.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
226,Equatorial Guinea,2019,Population density,48.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
232,Eritrea,2019,Population density,34.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
233,Estonia,2019,Population density,31.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
748,Eswatini,2019,Population density,66.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
231,Ethiopia,2019,Population density,112.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
