Region/Country/Area,,Year,Series,Value
410,Republic of Korea,2019,Population density,526.80
498,Republic of Moldova,2019,Population density,123.10
638,Réunion,2019,Population density,355.60
642,Romania,2019,Population density,84.10
643,Russian Federation,2019,Population density,8.90
646,Rwanda,2019,Population density,511.80
654,Saint Helena,2019,Population density,15.50
659,Saint Kitts and Nevis,2019,Population density,203.20
662,Saint Lucia,2019,Population density,299.70
666,Saint Pierre and Miquelon,2019,Population density,25.30
670,Saint Vincent & Grenadines,2019,Population density,283.60
882,Samoa,2019,Population density,69.60
674,San Marino,2019,Population density,564.40
678,Sao Tome and Principe,2019,Population density,224.00
682,Saudi Arabia,2019,Population density,15.90
686,Senegal,2019,Population density,84.60
688,Serbia,2019,Population density,100.30
690,Seychelles,2019,Population density,212.50
694,Sierra Leone,2019,Population density,108.20
702,Singapore,2019,Population density,8291.90
534,Sint Maarten (Dutch part),2019,Population density,1246.70
703,Slovakia,2019,Population density,113.50
705,Slovenia,2019,Population density,103.20
90,Solomon Islands,2019,Population density,23.90
706,Somalia,2019,Population density,24.60
710,South Africa,2019,Population density,48.30
724,Spain,2019,Population density,93.70
144,Sri Lanka,2019,Population density,340.00
275,State of Palestine,2019,Population density,827.50
740,Suriname,2019,Population density,3.70
752,Sweden,2019,Population density,24.50
756,Switzerland,2019,Population density,217.40
760,Syrian Arab Republic,2019,Population density,93.00
762,Tajikistan,2019,Population density,66.60
764,Thailand,2019,Population density,136.30
626,Timor-Leste,2019,Population density,87.00
768,Togo,2019,Population density,148.60
772,Tokelau,2019,Population density,133.00
776,Tonga,2019,Population density,145.10
780,Trinidad and Tobago,2019,Population density,271.90
788,Tunisia,2019,Population density,75.30
792,Turkey,2019,Population density,108.40
795,Turkmenistan,2019,Population density,12.60
796,Turks and Caicos Islands,2019,Population density,40.20
798,Tuvalu,2019,Population density,388.50
800,Uganda,2019,Population density,221.60
804,Ukraine,2019,Population density,75.90
784,United Arab Emirates,2019,Population density,116.90
826,United Kingdom,2019,Population density,279.10
834,United Rep. of Tanzania,2019,Population density,65.50
840,United States of America,2019,Population density,36.00
850,United States Virgin Islands,2019,Population density,298.80
858,Uruguay,2019,Population density,19.80
860,Uzbekistan,2019,Population density,77.50
548,Vanuatu,2019,Population density,24.60
862,Venezuela (Boliv. Rep. of),2019,Population density,32.30
704,Viet Nam,2019,Population density,311.10
876,Wallis and Futuna Islands,2019,Population density,81.70
732,Western Sahara,2019,Population density,2.20
887,Yemen,2019,Population density,55.20
894,Zambia,2019,Population density,24.00
716,Zimbabwe,2019,Population density,37.90
