Region/Country/Area,,Year,Series,Value
296,Kiribati,2019,GDP per capita (US dollars),"$1,657.00"
414,Kuwait,2019,GDP per capita (US dollars),"$31,999.00"
417,Kyrgyzstan,2019,GDP per capita (US dollars),"$1,318.00"
418,Lao People's Dem. Rep.,2019,GDP per capita (US dollars),"$2,625.00"
428,Latvia,2019,GDP per capita (US dollars),"$17,885.00"
422,Lebanon,2019,GDP per capita (US dollars),"$7,784.00"
426,Lesotho,2019,GDP per capita (US dollars),"$1,158.00"
430,Liberia,2019,GDP per capita (US dollars),$523.00
434,Libya,2019,GDP per capita (US dollars),"$4,810.00"
438,Liechtenstein,2019,GDP per capita (US dollars),"$178,799.00"
440,Lithuania,2019,GDP per capita (US dollars),"$19,795.00"
442,Luxembourg,2019,GDP per capita (US dollars),"$115,481.00"
450,Madagascar,2019,GDP per capita (US dollars),$523.00
454,Malawi,2019,GDP per capita (US dollars),$435.00
458,Malaysia,2019,GDP per capita (US dollars),"$11,414.00"
462,Maldives,2019,GDP per capita (US dollars),"$10,626.00"
466,Mali,2019,GDP per capita (US dollars),$887.00
470,Malta,2019,GDP per capita (US dollars),"$33,752.00"
584,Marshall Islands,2019,GDP per capita (US dollars),"$4,038.00"
478,Mauritania,2019,GDP per capita (US dollars),"$1,678.00"
480,Mauritius,2019,GDP per capita (US dollars),"$11,169.00"
484,Mexico,2019,GDP per capita (US dollars),"$9,849.00"
583,Micronesia (Fed. States of),2019,GDP per capita (US dollars),"$3,640.00"
492,Monaco,2019,GDP per capita (US dollars),"$190,532.00"
496,Mongolia,2019,GDP per capita (US dollars),"$4,295.00"
499,Montenegro,2019,GDP per capita (US dollars),"$8,825.00"
500,Montserrat,2019,GDP per capita (US dollars),"$13,487.00"
504,Morocco,2019,GDP per capita (US dollars),"$3,282.00"
508,Mozambique,2019,GDP per capita (US dollars),$504.00
104,Myanmar,2019,GDP per capita (US dollars),"$1,421.00"
516,Namibia,2019,GDP per capita (US dollars),"$4,957.00"
520,Nauru,2019,GDP per capita (US dollars),"$12,351.00"
524,Nepal,2019,GDP per capita (US dollars),"$1,074.00"
528,Netherlands,2019,GDP per capita (US dollars),"$53,053.00"
