Region/Country/Area,,Year,Series,Value
600,Paraguay,2019,Consumer price index: General,143.8
604,Peru,2019,Consumer price index: General,129.8
608,Philippines,2019,Consumer price index: General,120.2
616,Poland,2019,Consumer price index: General,113.9
620,Portugal,2019,Consumer price index: General,110.6
634,Qatar,2019,Consumer price index: General,108.1
410,Republic of Korea,2019,Consumer price index: General,115.2
498,Republic of Moldova,2019,Consumer price index: General,166.3
638,Réunion,2019,Consumer price index: General,107.7
642,Romania,2019,Consumer price index: General,123.8
643,Russian Federation,2019,Consumer price index: General,180.7
646,Rwanda,2019,Consumer price index: General,140.5
659,Saint Kitts and Nevis,2019,Consumer price index: General,104.3
662,Saint Lucia,2019,Consumer price index: General,110.7
670,Saint Vincent & Grenadines,2019,Consumer price index: General,110.7
882,Samoa,2019,Consumer price index: General,117.6
674,San Marino,2019,Consumer price index: General,112.5
682,Saudi Arabia,2019,Consumer price index: General,97.9
686,Senegal,2019,Consumer price index: General,109.3
688,Serbia,2019,Consumer price index: General,144.0
690,Seychelles,2019,Consumer price index: General,130.0
694,Sierra Leone,2019,Consumer price index: General,234.2
702,Singapore,2019,Consumer price index: General,114.4
703,Slovakia,2019,Consumer price index: General,115.3
705,Slovenia,2019,Consumer price index: General,111.1
90,Solomon Islands,2019,Consumer price index: General,133.1
710,South Africa,2019,Consumer price index: General,158.7
728,South Sudan,2019,Consumer price index: General,15749.2
724,Spain,2019,Consumer price index: General,111.0
144,Sri Lanka,2019,Consumer price index: General,129.6
275,State of Palestine,2019,Consumer price index: General,112.5
729,Sudan,2019,Consumer price index: General,1344.2
740,Suriname,2019,Consumer price index: General,294.8
752,Sweden,2019,Consumer price index: General,110.5
756,Switzerland,2019,Consumer price index: General,99.5
760,Syrian Arab Republic,2019,Consumer price index: General,896.2
762,Tajikistan,2019,Consumer price index: General,178.6
764,Thailand,2019,Consumer price index: General,113.3
626,Timor-Leste,2019,Consumer price index: General,146.2
768,Togo,2019,Consumer price index: General,113.3
780,Trinidad and Tobago,2019,Consumer price index: General,143.2
788,Tunisia,2019,Consumer price index: General,158.8
792,Turkey,2019,Consumer price index: General,233.5
800,Uganda,2019,Consumer price index: General,107.6
804,Ukraine,2019,Consumer price index: General,281.9
784,United Arab Emirates,2019,Consumer price index: General,114.5
826,United Kingdom,2019,Consumer price index: General,120.6
834,United Rep. of Tanzania,2019,Consumer price index: General,187.4
840,United States of America,2019,Consumer price index: General,117.2
858,Uruguay,2019,Consumer price index: General,202.9
860,Uzbekistan,2019,Consumer price index: General,153.3
548,Vanuatu,2019,Consumer price index: General,117.1
862,Venezuela (Boliv. Rep. of),2019,Consumer price index: General,1931.5
704,Viet Nam,2019,Consumer price index: General,163.5
894,Zambia,2019,Consumer price index: General,212.3
